0.000000000000000000e+00,2.834628005571749993e+06,2.576103163779277354e+06,3.631064639765665401e+06,4.617184211175500415e+06,3.862095511319416575e+06,5.981349321063137613e+06,2.767717789007083513e+06,8.940479791357222712e+05,2.099876072336306330e+06
2.834628005571749993e+06,0.000000000000000000e+00,7.854155768433610210e+05,1.056064074989139102e+06,1.306635012157583144e+06,1.478849174592000432e+06,1.418938378018555697e+06,9.039941658120000502e+05,1.699025040491361404e+06,9.024919650206109509e+05
2.576103163779277354e+06,7.854155768433610210e+05,0.000000000000000000e+00,2.676111897351666703e+05,3.615019656022778945e+05,4.920576714073054609e+05,8.349345224665834103e+05,1.749550682351388969e+05,2.426476073150055017e+06,2.006967299943472026e+06
3.631064639765665401e+06,1.056064074989139102e+06,2.676111897351666703e+05,0.000000000000000000e+00,2.207042563395555480e+05,1.698937279879722337e+05,4.589953685597500880e+05,3.556652126483611064e+05,3.426995128567444626e+06,2.810544470595138613e+06
4.617184211175500415e+06,1.306635012157583144e+06,3.615019656022778945e+05,2.207042563395555480e+05,0.000000000000000000e+00,3.815497581646944745e+05,2.120703161496389075e+05,4.683306940593611216e+05,4.266792828517666087e+06,3.351612059922971297e+06
3.862095511319416575e+06,1.478849174592000432e+06,4.920576714073054609e+05,1.698937279879722337e+05,3.815497581646944745e+05,0.000000000000000000e+00,6.865465583883331856e+05,7.117825974769443274e+05,3.600854720559749752e+06,3.535316641364888288e+06
5.981349321063137613e+06,1.418938378018555697e+06,8.349345224665834103e+05,4.589953685597500880e+05,2.120703161496389075e+05,6.865465583883331856e+05,0.000000000000000000e+00,9.000393191137219546e+05,5.058899664336916991e+06,3.660490666369778104e+06
2.767717789007083513e+06,9.039941658120000502e+05,1.749550682351388969e+05,3.556652126483611064e+05,4.683306940593611216e+05,7.117825974769443274e+05,9.000393191137219546e+05,0.000000000000000000e+00,2.756490096775027923e+06,1.815309183096999768e+06
8.940479791357222712e+05,1.699025040491361404e+06,2.426476073150055017e+06,3.426995128567444626e+06,4.266792828517666087e+06,3.600854720559749752e+06,5.058899664336916991e+06,2.756490096775027923e+06,0.000000000000000000e+00,1.138364446358972462e+06
2.099876072336306330e+06,9.024919650206109509e+05,2.006967299943472026e+06,2.810544470595138613e+06,3.351612059922971297e+06,3.535316641364888288e+06,3.660490666369778104e+06,1.815309183096999768e+06,1.138364446358972462e+06,0.000000000000000000e+00
